Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
692,4,1,1,1,0,2,0,3,6,2,5,7,0,0,0,2,8,2,2,2,3,2,5,3,5,13,2
587,1,0,1,4,0,2,3,3,7,2,5,7,0,0,0,2,8,2,1,2,3,2,5,3,5,1,2
587,1,0,1,4,0,1,9,3,7,2,5,7,0,0,0,2,8,2,1,2,0,1,1,2,5,1,2
369,1,0,1,1,0,2,9,3,7,2,5,0,0,0,3,2,8,2,1,6,0,1,0,1,5,10,2
369,1,2,1,4,0,2,7,0,9,2,5,0,2,0,3,2,2,2,1,2,3,2,5,3,5,10,2
329,1,1,2,4,0,3,7,3,2,4,5,0,0,0,3,2,8,1,1,2,0,1,0,1,5,17,2
773,4,3,1,4,0,2,7,3,7,4,5,1,0,0,2,2,8,1,4,2,3,2,5,3,5,2,1
773,4,3,1,4,0,3,9,3,7,1,5,1,0,0,2,2,8,1,4,2,0,1,1,1,5,12,1
773,4,3,1,1,0,4,5,3,9,2,5,1,0,0,2,2,8,1,4,2,3,2,5,3,5,11,1
773,4,3,1,1,0,2,7,3,6,1,5,1,0,0,2,2,8,1,4,2,3,2,5,3,5,12,1
619,1,2,1,1,0,0,9,3,4,2,5,7,0,0,1,2,8,3,1,9,3,2,5,3,5,13,2
619,1,1,2,1,0,2,7,0,9,0,5,7,0,0,1,2,8,3,1,2,0,1,0,2,5,13,2
619,1,1,1,1,0,2,4,3,6,5,5,7,0,0,1,2,8,3,1,2,3,2,5,3,5,9,2
470,0,0,1,1,0,1,7,3,7,2,5,0,0,0,3,2,6,2,1,11,3,2,5,3,5,10,2
470,0,1,1,1,0,2,7,3,2,6,5,0,0,0,3,2,8,2,1,3,0,0,0,2,5,9,2
480,1,1,2,4,3,2,7,3,4,2,5,0,2,0,3,2,8,1,1,2,1,0,4,2,5,12,2
418,0,0,1,4,0,3,8,3,1,1,5,1,0,0,3,2,8,1,1,3,0,1,0,2,5,3,2
599,2,4,0,4,0,3,0,3,0,4,5,0,0,0,0,2,2,2,3,9,3,2,5,3,5,10,2
599,2,0,2,1,0,4,7,3,7,2,5,0,0,0,0,2,8,2,3,2,3,2,5,3,5,13,2
599,2,0,1,1,0,2,5,3,7,2,5,0,0,0,0,2,8,2,3,2,0,1,0,2,5,1,2
599,2,0,1,1,2,2,10,3,4,2,5,0,2,0,0,2,8,2,3,11,3,2,5,3,5,10,2
506,6,1,1,1,0,1,0,0,7,2,5,1,0,3,0,4,2,2,1,2,0,1,0,2,5,3,2
506,6,0,1,1,0,3,8,0,6,6,5,1,0,3,0,4,8,2,1,2,3,2,5,3,5,10,2
354,0,0,1,1,0,1,5,3,7,6,5,7,0,0,3,2,8,3,1,2,0,0,3,2,5,12,2
354,0,1,1,4,0,3,9,3,6,2,5,7,0,0,3,2,8,3,1,2,3,2,5,3,5,1,2
354,0,0,1,4,0,4,7,3,6,4,5,7,0,0,3,2,8,3,1,7,0,1,0,1,5,11,2
168,5,0,1,4,0,1,5,1,7,6,5,3,0,0,3,2,2,1,1,2,1,0,0,2,5,12,1
1023,1,3,2,1,0,2,8,0,7,6,5,0,0,0,3,2,8,2,1,2,0,0,3,2,5,0,2
1023,1,2,1,1,0,2,7,3,7,4,5,0,0,0,3,2,8,2,1,2,3,2,5,3,5,18,2
443,2,1,1,1,0,0,5,3,7,6,5,1,4,3,3,2,8,1,1,9,2,1,4,2,5,4,2
34,3,0,1,1,0,2,12,3,9,4,5,1,0,0,0,2,8,1,3,7,3,2,5,3,5,3,2
34,3,0,1,4,0,0,0,3,2,4,5,1,0,0,0,2,8,1,3,2,0,1,0,2,5,4,2
34,3,0,1,4,0,2,0,3,6,0,5,1,0,0,0,2,1,1,3,2,1,1,4,2,5,3,2
326,6,1,1,1,2,0,14,3,2,6,5,0,0,0,3,2,8,1,1,9,3,2,5,3,5,11,2
499,2,3,1,4,0,2,7,3,7,2,5,7,0,3,0,4,8,2,1,3,0,1,3,2,5,3,2
499,2,0,1,4,0,1,5,3,7,6,5,7,0,3,0,4,2,2,1,2,0,1,1,2,5,1,2
866,0,1,1,4,0,1,5,3,12,6,3,1,0,3,2,2,8,1,1,2,0,1,3,2,5,9,1
152,2,0,2,4,0,2,3,3,6,2,6,0,2,0,3,2,8,1,1,2,0,1,3,2,5,3,2
721,0,1,1,4,2,4,14,3,7,6,3,1,0,0,0,2,1,1,1,7,3,2,5,3,5,1,2
901,0,1,1,2,0,4,9,3,6,4,5,0,0,3,0,4,8,2,1,2,0,0,0,2,5,3,1
901,0,1,1,4,0,2,0,3,7,4,5,0,0,3,0,4,8,2,1,2,1,1,4,2,5,3,1
452,4,3,1,4,0,4,9,3,7,2,5,1,0,3,0,2,1,1,2,2,2,1,1,2,5,3,1
452,4,3,1,4,0,1,5,3,6,4,5,1,0,3,0,2,1,1,2,6,3,2,5,3,5,1,1
836,0,0,2,4,0,1,0,3,7,0,5,7,0,3,0,4,1,1,4,2,3,2,5,3,5,1,2
836,0,0,1,4,0,2,5,3,2,6,5,7,0,3,0,4,2,1,4,2,0,1,1,2,5,3,2
836,0,0,1,1,0,2,5,3,6,2,5,7,0,3,0,4,8,1,4,11,0,1,0,2,5,16,2
836,0,0,2,4,2,2,8,3,6,2,5,7,0,3,0,4,8,1,4,2,0,0,3,2,5,1,2
352,2,0,1,4,0,2,7,3,7,4,7,7,0,0,3,2,8,1,1,2,0,1,4,0,5,10,2
1014,0,3,1,4,2,2,0,3,9,4,5,0,0,3,3,4,8,1,1,8,0,1,0,2,5,13,2
